resources_basicinformation_title,resources_basicinformation_identifier,resources_rights_statements = institutional policy; access conditions,resources_rights_statement = institutional policy: use conditions,resources_rights_statement = institutional policy: granted note,resource_basic_information_resopsitory_processing_note,resource_basic_information_resopsitory_processing_note,resources_dates = Creation; Expression,resources_container_summary,resources_extent_number,resources_extent_type,resources_notes_conditiongoverningaccess,resources_notes_immediatesourceofacquisition,resources_notes_arrangement,resources_notes_biographicalhistorical,resources_notes_custodialhistory,resources_notes_general,resources_notes_physicaldescription,resources_notes_preferredcitation,resources_notes_relatedmaterials,resources_notes_scopeandcontent,resources_notes_separatedmaterials,resources_notes_conditionsgoverninguse,resources_notes_bibliography,resources_notes_existenceandlocationofcopies,resources_notes_existenceandlocationoforiginals,resources_notes_otherfindingaids
,,,,,,project statement (WORDING TO BE ADVISED),,CONTENT TBA,CONTENT TBA,CONTENT TBA,,,,,,,,,,,,,,,,
Title,Orig Call Number,Access Conditions,Terms of use,Granted Note,Related Holdings,,Date range,Extent,Number,Type,Conditions governing acces,Immediate source of acquisition,Arrangement,Biographical / Historical,Custodial history,General,Physical description,Preferred citation,Related materials,Scope and contents,Separated materials,Conditions governing use,Bibliography,Existence and location of copies,Existence and location of originals,Other finding aids
"Journal of H.M.S. Endeavour, 1768-1771",MS 1,Available for reference. Not for loan.,,,,,[1768-1771],753 p. fol.,1,metres,,,,,,,,,,"Holograph journal, written entirely in James Cook's hand, of the voyage of H.M.S. Endeavour during which Cook discovered eastern Australia and circumnavigated New Zealand. Bound with the journal is a copy of a report from John Hutchinson, surgeon of the Dolphin to Capt. Samuel Wallis, 16th May 1768, of observations on the effects of saloop, portable soup, mustard and vinegar, distilled water and beef fat on scurvy. For further details and publications of the journal see J.C. Beaglehole (ed.) 'The journals of Captain Cook' I cxciv-cciv.",,,,,,
Journal extracts 1839-1840,MS 10,Available for reference. Not for loan.,,,,,1839-1840,1 v.,2,metres,,,,,,,,,,"Elliott described cultural, religious and social conditions and the institutions and people connected with them in graphic, original detail. He made a particular study of educational and religious work. His travels in Australia extended to Paramatta, Pitt Town, Windsor and to Richmond, in the Hawkesbury District. In New Zealand, where his time was short, he only travelled to Pachia and to other points on the shore of the Bay of Islands.",,,,,,
Papers regarding the biography of Tom Roberts 1933-1945,MS 100,Available for reference. Not for loan.,,,,,1933-1945,4 cm. 4 folders.,3,metres,,,,,,,,,,"Galleys of book 'Tom Roberts: father of Australian landscape painting' (1935). Letters to R. H. Croll concerning the biography, 1932-1935, including letters from Jean Roberts, Caleb Roberts (son), M. J. MacNally, William Moore, Elizabeth A. Fraser, G. V. F. Mann, Kenneth Binns and Dr. William Maloney. Letters, 1935-1936, acknowledging receipt of copies of the biography. 'Before I forget: more recollections of R. H. Croll' is also included.",,,,,,
"Papers relating to the Church of Scotland and Scottish settlers in East Maitland, N.S.W. 1839-1865",MS 1000,Available for reference. Not for loan.,,,,,1839-1865,43 p.,4,metres,,,,,,,,,,"Drafts of letters, notes, accounts, food lists, etc. to do with the Church of Scotland and Highlanders settled in East Maitland, N.S.W. An important concern is these people's need of a Highland pastor.",,,,,,
"Papers of A.J. Metcalfe, 1961-1971",MS 10001,Available for research. Not for loan.,,,,,[1961-1971],9 cm. (3 folders),5,metres,,,,,,,,,,"Typescript autobiography (2 volumes) recounting Dr Metcalfe's career in health, including observations on health administration, Aboriginal health and communicable diseases. Also contains observations on political figures, including Earle Page and 'Doc' Evatt.",,,,,,
"Papers of Rupert Gerritsen, 2007",MS 10002,Available for research. Not for loan.,,,,,2007,1 cm. (1 folder),6,metres,,,,,,,,,,Research paper (25 p.) entitled 'Ethnohistory and the Antipodes'.,,,,,,
"Papers of Pru Gordon, 1975-1992",MS 10003,Available for reference. Not for loan.,,,MS Acc GB96/2103,,1975-1992,,7,metres,,,,,,,,,,"Copies of newspaper cuttings relating to Rainbow Warrior, Greenpeace and the French Pacific.",,,,,,
"Letters of Patrick White to James Waites, 1978-1981",MS 10004,Available for reference. Not for loan.,,,MS Acc07/86,,1978-1981,,8,metres,,,,,,,,,,"Correspondence from Patrick White to James Waites. Comprises: one signed postcard ca. 1978; one short autograph letter dated 12th August 1979, concerning the death of James Waites sister (aged 23) and offering company and a meal; three page autograph letter, dated 2nd June 1981. Letter includes reference to Flaws in the glass and offers advice on Waites further education.",,,,,,
"Manuscript translations of German sheep breeding texts, [ca. 1880-1900]",MS 10005,Available for reference. Not for loan.,,,MS Acc07/85,,[ca. 1880-1900],,9,metres,,,,,,,,,,"Handwritten manuscript translations of German publications: 1. Die verschiedenen Phasen der deutschen Merinozucht (Berlin : Bosselmann, 1857) : The different phases of German Merino breeding (378 leaves); 2. Die Schafzucht und Wollkunde [fuer Schafzuechter und Landwirthe] (Stuttgart : Ebner & Seubert, 1860) : Sheep rearing and wool studies (199 leaves) plus 45 original photographs. Each manuscript is written in ink in the same hand.",,,,,,
"Papers of the Carey family, 1891-1988",MS 10006,Available for research. Not for loan.,,,MS Acc07/62,,1891-1988,,10,metres,,,,,,,,,,"The papers include press cuttings, music programs, publications, letters, school documents and photographs of members of the Carey family, and published and unpublished music manuscripts of Dunbar Carey. The collection also includes a number of diaries: Alice Waterworth (Carey) typescript copy of a diary describing her voyage to Australia 1886; Diary of Private E.R.D. Carey compiled by John L. Carey; The musical life of Mr Dunbar Carey compiled by John L. Carey.",,,,,,
"Journeyman at Cambridge, [ca. 1961]",MS 10007,Available for reference. Not for loan.,"Requests for copying should be directed to Thomas H. Manning Polar Archives, Scott Polar Research Institute, University of Cambridge.",,MS Acc07/70,,[ca. 1961],,11,metres,,,,,,,,,,"Copy of an unpublished autobiography by Thomas Griffith Taylor covering his life in Cambridge to 1939, with accounts of journeys elsewhere including the Antarctic during the British National Antarctic Expedition, 1910-13.",,,,,,
"Theatrical scripts based on Australian themes or written for Australian actors, 1860-1869",MS 10008,Available for reference. Not for loan.,,,MS Acc07/49,,1860-1869,,12,metres,,,,,,,,,,"Collection of handwritten theatrical scripts, the majority belonging to F.B. Egan of the Queen's Theatre, Manchester, comprising some thirty stitched parts (each covering either an individual act or character part) for plays performed in the mid nineteenth century British provincial theatres. Plays include Gold, in three acts and Never too late to mend, in four acts as well as other plays and parts. Some of the scripts have been extensively marked-up with stage-directions, cuts and additions for performance.",,,,,,
"Diary of Alberto Dias Soares, 1855-1856",MS 10009,Available for reference. Not for loan.,,,MS Acc07/36,,1855-1856,,13,metres,,,,,,,,,,"One volume is an original diary written by Soares documenting his life in Australia. He writes about his work as a lay assistant to Reverend Robert Cartwright, his daily duties and the people around him.The second volume is a full contemporary transcription of the diary, of which provenance is unknown.",,,,,,
