level_of_description,collection_id,user_defined_integer_2,container1_type,container1_indicator,component_unique_id,title,date (expression),extent_number,extent_type,extent_physcial_details,extent_dimensions,scope_content_note,creator_primary_name (Agent_Person; Role_Source???),notes_processing_information,,,,,,,,,,
Level of Description,Collection Number (Collection Level),Bib ID (Collection Level only),Box Type,Box Number,Item Number (file no/control no),Title (collection/series/item),Date Range,Extent No,Extent Type,Physcial details,Dimensions / Size,Comments,"Creator Name (Surname, First Name) Collection Level Only",Matching_id (system generated),,,,,,,,,,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,
Collection,MS12345,123546,,,,Papers of Joe Bloggs,1980-1995,10,items ,,,,"Bloggs, Joe",,,,,,,,,,,
Class,,,,,,Digital Consignment: 31/10/2016,,,,,,,,,,,,,,,,,,
Series,,,,,1,Letters of Sister Bloggs,1980-1990,5,item ,,,Set of correspondence from Joe Bloggs covering 1980-1990 and including afjklasdjkddfk.,,nla.obj-2500008,,,,,,,,,,
Item,,,Digital Item,nla.obj-2500215,1,Letter A,1980,1,item ,Photograph: Colour,12 MB,Photograph take during afjdklasdjkdk,,nla.obj-2500215,,,,,,,,,,
Item,,,Digital Item,nla.obj-2500277,2,Letter B,1982,1,item ,Photograph: Colour,12 MB,,,nla.obj-2500277,,,,,,,,,,
Item,,,Digital Item,nla.obj-2500336,3,Letter C,1990,1,item ,Photograph: Colour,36 MB,,,nla.obj-2500336,,,,,,,,,,
Item,,,Box,1,4,Letter D,1986,1,item,,120 KB,,,,,,,,,,,,,
Item,,,Box    ,1,5,Letter E,1987,1,items,,,,,,,,,,,,,,,
Series,,,,,2,Publication Files,1990-1996,3,metres,,,Series of publication fiels created by Joe Bloggs during time as Editor.,,nla.obj-2500516,,,,,,,,,,
File,,,Box ,2,6,Title of Folder,1992,,,,,,,,,,,,,,,,,
File,,,Box,2,7,Title of Folder,1993-1996,,,,,,,,,,,,,,,,,
File,,,Box,2,8,Title of Folder,1996-2006,,,,,,,,,,,,,,,,,
